Frame,Score,Motion,People,Level
192,0.05,0.0,3,Normal
193,0.05,0.0,3,Normal
194,0.05,0.0,3,Normal
195,0.05,0.0,3,Normal
196,0.05,0.0,4,Normal
197,0.05,0.0,4,Normal
198,0.05,0.0,3,Normal
199,0.05,0.0,3,Normal
200,0.05,0.0,3,Normal
201,0.05,0.0,3,Normal
202,0.05,0.0,4,Normal
203,0.05,0.0,3,Normal
204,0.05,0.0,3,Normal
205,0.05,0.0,3,Normal
206,0.05,0.0,3,Normal
207,0.05,0.0,3,Normal
208,0.05,0.0,3,Normal
209,0.05,0.0,3,Normal
210,0.05,0.0,3,Normal
211,0.05,0.0,3,Normal
212,0.05,0.0,3,Normal
213,0.05,0.0,3,Normal
214,0.05,0.0,3,Normal
215,0.05,0.0,3,Normal
216,0.05,0.0,3,Normal
217,0.05,0.0,3,Normal
218,0.05,0.0,3,Normal
219,0.05,0.0,3,Normal
220,0.05,0.0,3,Normal
221,0.05,0.0,3,Normal
222,0.05,0.0,3,Normal
223,0.05,0.0,3,Normal
224,0.05,0.0,3,Normal
225,0.05,0.0,3,Normal
226,0.05,0.0,3,Normal
227,0.05,0.0,3,Normal
228,0.05,0.0,3,Normal
229,0.05,0.0,3,Normal
230,0.05,0.0,3,Normal
231,0.05,0.0,3,Normal
232,0.05,0.0,4,Normal
233,0.05,0.0,4,Normal
234,0.05,0.0,4,Normal
235,0.05,0.0,4,Normal
236,0.05,0.0,4,Normal
237,0.05,0.0,4,Normal
238,0.05,0.0,5,Normal
239,0.05,0.0,5,Normal
240,0.05,0.0,4,Normal
241,0.6,0.0,4,Medium
242,0.05,0.0,4,Normal
243,0.05,0.0,3,Normal
244,0.05,0.0,3,Normal
245,0.05,0.0,3,Normal
246,0.05,0.0,3,Normal
247,0.05,0.0,3,Normal
248,0.05,0.0,3,Normal
249,0.05,0.0,3,Normal
250,0.05,0.0,3,Normal
251,0.05,0.0,3,Normal
252,0.05,0.0,3,Normal
253,0.05,0.0,3,Normal
254,0.05,0.0,3,Normal
255,0.05,0.0,4,Normal
256,0.05,0.0,4,Normal
257,0.65,0.0,5,Medium
258,0.05,0.0,4,Normal
259,0.05,0.0,4,Normal
260,0.6,0.0,4,Medium
261,0.61,0.028711169524196344,4,Medium
262,0.61,0.02583770518148621,4,Medium
263,0.61,0.025408077499706205,4,Medium
264,0.05,0.0,4,Normal
265,0.05,0.0,4,Normal
266,0.05,0.0,3,Normal
267,0.05,0.0,3,Normal
268,0.7,0.0,6,Medium
269,0.67,0.04326157167319632,5,Medium
270,0.83,0.15510335017680688,7,High
271,0.78,0.06381624680908879,7,High
272,0.05,0.0,4,Normal
273,0.05,0.0,4,Normal
274,0.05,0.0,4,Normal
275,0.05,0.0,6,Normal
276,0.05,0.0,3,Normal
277,0.05,0.0,3,Normal
278,0.05,0.0,3,Normal
279,0.05,0.0,2,Normal
280,0.55,0.0,3,Medium
281,0.58,0.06784501797567095,3,Medium
282,0.59,0.07441137482493647,3,Medium
283,0.79,0.48785698604073785,3,High
284,0.57,0.036695179718830205,3,Medium
285,0.05,0.0,3,Normal
286,0.55,0.0,3,Medium
287,0.7,0.39238653927174155,2,Medium
288,0.51,0.0197866091312139,2,Medium
289,0.05,0.0,5,Normal
290,0.65,0.0,5,Medium
291,0.05,0.0,5,Normal
292,0.05,0.0,3,Normal
293,0.55,0.0,3,Medium
294,0.74,0.37441652408625953,3,High
295,0.05,0.0,3,Normal
296,0.55,0.0,3,Medium
297,0.57,0.04037532257130116,3,Medium
298,0.57,0.049895134940571635,3,Medium
299,0.57,0.04675683101067265,3,Medium
300,0.58,0.05486758356630243,3,Medium
301,0.63,0.05796611265173774,4,Medium
302,0.63,0.06840568722020555,4,Medium
303,0.66,0.024375092280764166,5,Medium
304,0.05,0.0,4,Normal
305,0.6,0.0,4,Medium
306,0.62,0.04695074749752069,4,Medium
307,0.57,0.03572809577503482,3,Medium
308,0.62,0.0369072222579576,4,Medium
309,0.63,0.05185595533459859,4,Medium
310,0.84,0.5825901339326994,3,High
311,0.05,0.0,3,Normal
312,0.05,0.0,3,Normal
313,0.55,0.0,3,Medium
314,0.05,0.0,5,Normal
315,0.05,0.0,5,Normal
316,0.05,0.0,5,Normal
317,0.6,0.0,4,Medium
318,0.05,0.0,5,Normal
319,0.05,0.0,6,Normal
320,0.05,0.0,6,Normal
321,0.05,0.0,5,Normal
322,0.7,0.0,6,Medium
323,0.05,0.0,6,Normal
324,0.05,0.0,6,Normal
325,0.05,0.0,7,Normal
